"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1838","checkTextareaInput()","","Tue Mar 17 05:25:54 UTC 2026","broken","Tue Mar 17 05:25:56 UTC 2026","","ui.WebFormTests","ui.WebFormTests","checkTextareaInput"
"","805","openHomePageTest()","","Tue Mar 17 05:25:51 UTC 2026","passed","Tue Mar 17 05:25:52 UTC 2026","","ui.HomePageTestsWithPOMTests","ui.HomePageTestsWithPOMTests","openHomePageTest"
"","10097","testLoginSuccess()","","Tue Mar 17 05:26:02 UTC 2026","passed","Tue Mar 17 05:26:13 UTC 2026","","ui.fluent.FluentLoginPageTests","ui.fluent.FluentLoginPageTests","testLoginSuccess"
"","2333","openHomePageTest()","","Tue Mar 17 05:25:49 UTC 2026","passed","Tue Mar 17 05:25:51 UTC 2026","","ui.HomePageTests","ui.HomePageTests","openHomePageTest"
"","1757","submitFormTest()","","Tue Mar 17 05:26:01 UTC 2026","broken","Tue Mar 17 05:26:02 UTC 2026","","ui.WebFormTestsForPOM","ui.WebFormTestsForPOM","submitFormTest"
"","713","headerTest()","","Tue Mar 17 05:26:23 UTC 2026","broken","Tue Mar 17 05:26:23 UTC 2026","","ui.fluent.FluentLoginPageTests","ui.fluent.FluentLoginPageTests","headerTest"
"","215","readonlyTextTest()","","Tue Mar 17 05:26:33 UTC 2026","broken","Tue Mar 17 05:26:33 UTC 2026","","ui.selenide.SelenideTests","ui.selenide.SelenideTests","readonlyTextTest"
"","865","disabledInput()","","Tue Mar 17 05:25:56 UTC 2026","passed","Tue Mar 17 05:25:57 UTC 2026","","ui.WebFormTests","ui.WebFormTests","disabledInput"
"","208","openHomePageTest()","","Tue Mar 17 05:26:33 UTC 2026","broken","Tue Mar 17 05:26:33 UTC 2026","","ui.selenide.SelenideTests","ui.selenide.SelenideTests","openHomePageTest"
"","1858","checkTextareaInput()","","Tue Mar 17 05:25:57 UTC 2026","broken","Tue Mar 17 05:25:59 UTC 2026","","ui.WebFormTestsForPOM","ui.WebFormTestsForPOM","checkTextareaInput"
"","705","disabledInput()","","Tue Mar 17 05:25:59 UTC 2026","passed","Tue Mar 17 05:26:00 UTC 2026","","ui.WebFormTestsForPOM","ui.WebFormTestsForPOM","disabledInput"
"","720","openWebFormTestWithCheck()","","Tue Mar 17 05:26:00 UTC 2026","passed","Tue Mar 17 05:26:01 UTC 2026","","ui.WebFormTestsForPOM","ui.WebFormTestsForPOM","openWebFormTestWithCheck"
"","760","openWebFormTest()","","Tue Mar 17 05:25:57 UTC 2026","passed","Tue Mar 17 05:25:57 UTC 2026","","ui.WebFormTests","ui.WebFormTests","openWebFormTest"
"","9619","openWebFormPageTest()","","Tue Mar 17 05:26:23 UTC 2026","broken","Tue Mar 17 05:26:33 UTC 2026","","ui.selenide.SelenideTests","ui.selenide.SelenideTests","openWebFormPageTest"
"","1663","openNavigationTest()","","Tue Mar 17 05:25:52 UTC 2026","broken","Tue Mar 17 05:25:54 UTC 2026","","ui.NavigationTestsForPOM","ui.NavigationTestsForPOM","openNavigationTest"
"","9952","testLoginFailure()","","Tue Mar 17 05:26:13 UTC 2026","passed","Tue Mar 17 05:26:23 UTC 2026","","ui.fluent.FluentLoginPageTests","ui.fluent.FluentLoginPageTests","testLoginFailure"
